 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 04/15 | 18:23 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8847   |           5165   |
| 19.0/(FRExt)| 04/15 | 18:24 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9146   |           5303   |
| 19.0/(FRExt)| 04/15 | 18:25 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8766   |           5098   |
| 19.0/(FRExt)| 04/15 | 18:25 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8831   |           5157   |
| 19.0/(FRExt)| 04/15 | 18:27 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9421   |           5502   |
| 19.0/(FRExt)| 04/15 | 18:27 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9006   |           5226   |
| 19.0/(FRExt)| 04/15 | 18:28 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8869   |           5158   |
| 19.0/(FRExt)| 04/15 | 18:29 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8758   |           5080   |
| 19.0/(FRExt)| 04/15 | 18:29 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8738   |           5073   |
| 19.0/(FRExt)| 04/15 | 18:30 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8752   |           5106   |
| 19.0/(FRExt)| 04/15 | 18:31 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8683   |           5055   |
| 19.0/(FRExt)| 04/15 | 18:35 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           8956   |           5205   |
| 19.0/(FRExt)| 04/15 | 18:36 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9523   |           5462   |
| 19.0/(FRExt)| 04/15 | 18:38 |                                 ace.yuv|   11 |  0/0  | 28 | 28 | 30 | 176x144 |    0  |  7 | EPZS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 37.638| 41.571| 43.231| 32.834| 33.512| 33.895|  58342| 388756| 800138|  1248109|           9661   |           5492   |
